Internship Title,Company Name,Location,Start Date,Duration,Stipend,Apply By,Skills Required,Perks
Human Resources (HR),Ziegler Aerospace,Hyderabad,Starts immediatelyImmediately,6 Months,"₹ 10,000 /month",29 Apr' 25,"English Proficiency (Spoken), English Proficiency (Written), Human Resource Information System (HRIS), MS-Excel, MS-Office, MS-Word, Certificate, Flexible work hours, Free snacks & beverages",N/A
Video Editing/Making,Techdome Solutions Private Limited,Hyderabad,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 15,000 /month",25 May' 25,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Final Cut Pro, Video Editing, Video Making, Certificate, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",N/A
UI/UX Design,Sublime Technocorp Private Limited,"Navi Mumbai, Mumbai                                                    (Hybrid)",Starts immediatelyImmediately,6 Months,"₹ 12,000 - 18,000 /month",24 May' 25,"Figma, Prototyping, UI & UX Design, User Interface (UI) Development, Wireframing, Certificate, Letter of recommendation, 5 days a week",N/A
Graphic Design,Educase India,Hyderabad,Starts immediatelyImmediately,6 Months,"₹ 10,000 /month",25 May' 25,"Adobe Illustrator, Adobe Photoshop, Certificate, Informal dress code, Job offer",N/A
Project Management,Techdome Solutions Private Limited,"Indore, Hyderabad",Starts immediatelyImmediately,6 Months,"₹ 10,000 - 15,000 /month",25 May' 25,"Agile Methodology, Effective Communication, Jira, MS-Excel, MS-Office, Product Lifecycle Management(PLM), Scrum, Certificate, Flexible work hours, Informal dress code, 5 days a week, Job offer",N/A
Auditing & Accounting,Madhu Mantri And Associates,Hyderabad,Starts immediatelyImmediately,6 Months,"₹ 4,500 /month",25 May' 25,"Accounting, Finance, Certificate, Letter of recommendation",N/A
Architecture,Evolve Architecture,"Chandigarh, Mohali, Panchkula",1 Jul - 15 Jul' 25,6 Months,"₹ 7,000 - 12,000 /month",25 May' 25,"Adobe Photoshop, AutoCAD, Autodesk Revit, Google SketchUp, MS-Office, Certificate, Letter of recommendation, Informal dress code",N/A
Client Servicing,Maverick Activations Pvt. Ltd,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 6,000 - 10,000 /month",22 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, Certificate, Letter of recommendation, Flexible work hours",N/A
Sales,Zyax Chem LLP,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 15,000 /month",25 May' 25,"Effective Communication, Interpersonal skills, Sales Management, Time Management, Certificate",N/A
GST And Accounting,Registration Arena,Pune,Starts immediatelyImmediately,6 Months,"₹ 4,000 - 6,000 /month",21 May' 25,"Accounting, English Proficiency (Spoken), GST, MS-Excel, Tally, Taxation, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Telecalling,AUSLESE,Delhi,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 22,000 /month",25 May' 25,"English Proficiency (Spoken), MS-Excel, Sales, Certificate, Informal dress code, Free snacks & beverages",N/A
Social Media Marketing,Aasha Realtors,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 12,000 - 17,000 /month",24 May' 25,"Adobe Photoshop, Canva, Digital Marketing, Search Engine Optimization (SEO), Social Media Marketing, Video Editing, Certificate, Letter of recommendation, Job offer",N/A
Law/Legal,Growthify JurisAI Private Limited,Ahmedabad,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 15,000 /month",23 May' 25,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Legal Drafting, Legal Writing, MS-Office, MS-Word, Certificate, Letter of recommendation, Job offer",N/A
Law/Legal,Business Setup Worldwide,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 15,000 /month",22 May' 25,"Client Interaction, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Office, Problem Solving, Certificate, Informal dress code, 5 days a week, Job offer",N/A
Company Secretary (CS),TRUE FILES INDIA LLP,Varanasi,Starts immediatelyImmediately,12 Months,"₹ 9,000 - 18,000 /month",22 May' 25,"Accounting, English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-Word, Certificate, Free snacks & beverages",N/A
Law/Legal,Movi Ecoserve Private Limited,Delhi,Starts immediatelyImmediately,6 Months,"₹ 7,000 - 10,000 /month",24 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-Word, Certificate, Letter of recommendation, 5 days a week",N/A
Law/Legal,Movi Ecoserve Private Limited,Gurgaon,Starts immediatelyImmediately,6 Months,"₹ 6,000 - 8,000 /month",24 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-Word, Certificate, Letter of recommendation, 5 days a week",N/A
Business Development (Sales),Edhusk,Jaipur                                                    (Hybrid),Starts immediatelyImmediately,2 Months,"₹ 7,000 /month",23 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), MS-Excel, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours",N/A
Fundraising,Spark-A-Change Foundation,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 3,000 - 5,000 /month",25 May' 25,"Attention to Detail, Canva, Content Writing, Effective Communication, English Proficiency (Written), Interpersonal skills, MS-Excel, MS-PowerPoint, Research and Analytics, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week",N/A
Business Development (Sales),Sun Fibo Technology Private Limited,Pune,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 8,000 /month",24 May' 25,"English Proficiency (Spoken), MS-Excel, MS-PowerPoint, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",N/A
Web Development,El Codamics,Coimbatore,Starts immediatelyImmediately,3 Months,"₹ 2,000 /month",24 May' 25,"CSS, HTML, JavaScript, PHP, React, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",N/A
Customer Service/Customer Support,VleBazaar,"Delhi, Gurgaon",Starts immediatelyImmediately,6 Months,"₹ 8,000 - 16,000 /month",26 May' 25,"Hindi Proficiency (Spoken), MS-Office, Certificate, Informal dress code, Free snacks & beverages",N/A
Content Writing,Times Internet,Noida,Starts immediatelyImmediately,6 Months,"₹ 9,000 - 10,000 /month",25 May' 25,"Content Writing, Effective Communication, Certificate",N/A
Photography,SHEOWS                                  NGO,"Delhi, Gurgaon",Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",22 May' 25,"Photography, Video Editing, Video Making, Certificate, 5 days a week",N/A
Graphics Design,VleBazaar,"Delhi, Gurgaon",Starts immediatelyImmediately,6 Months,"₹ 6,000 - 15,000 /month",26 May' 25,"Adobe Illustrator, Adobe Photoshop, CorelDRAW, Certificate, Informal dress code, Free snacks & beverages",N/A
Educational Consultant,Ramyoz,Noida                                                    (Hybrid),Starts immediatelyImmediately,6 Months,"₹ 15,000 - 30,000 /month",22 May' 25,"Sales, Certificate, Letter of recommendation",N/A
Business Development (Sales),Marketing Keen,Delhi,Starts immediatelyImmediately,3 Months,"₹ 7,000 - 12,000 /month",22 May' 25,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, Informal dress code",N/A
Course Sales,Ramyoz,Noida                                                    (Hybrid),Starts immediatelyImmediately,6 Months,"₹ 15,000 - 30,000 /month",22 May' 25,"Sales, Certificate, Letter of recommendation",N/A
Video Editing/Making,SKU Creations,"Delhi, Ghaziabad, Noida",Starts immediatelyImmediately,6 Months,"₹ 10,000 - 12,000 /month",23 May' 25,"Adobe After Effects, Adobe Premiere Pro, Capcut, Video Editing, Certificate, Letter of recommendation, Free snacks & beverages",N/A
Video Editing/Making,Digital Web King,"Delhi, Ghaziabad, Noida",Starts immediatelyImmediately,3 Months,"₹ 5,000 - 6,500 /month",26 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making, Certificate, Letter of recommendation, Informal dress code",N/A
Video Editing/Making,GyFTR,"Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida",Starts immediatelyImmediately,3 Months,"₹ 12,000 - 15,000 /month",21 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Final Cut Pro, Video Editing, Videography, Video Making, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Telecalling,CloudBird Digital Private Limited,Noida,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 7,000 /month",23 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), MS-Excel, Certificate, Letter of recommendation, Informal dress code",N/A
Educational Consultant,Pioneer EduTech Media Services,Greater Noida,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 16,000 /month",23 May' 25,"Counseling, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Business Development (Sales),Shri Ram Bharat Enterprise,Greater Noida,Starts immediatelyImmediately,3 Months,"₹ 7,500 - 33,000 /month",26 May' 25,"Digital Marketing, English Proficiency (Spoken), MS-Excel, MS-PowerPoint, Certificate, Letter of recommendation, Informal dress code",N/A
Inside Sales,Ramyoz,Noida                                                    (Hybrid),Starts immediatelyImmediately,6 Months,"₹ 15,000 - 30,000 /month",22 May' 25,Sales,N/A
Video Editing,Ipsita Insurance Services Private Limited,Delhi,Starts immediatelyImmediately,3 Months,"₹ 11,000 - 14,000 /month",25 May' 25,"Adaptability, Adobe Premiere Pro, Capcut, Content Editing, 5 days a week",N/A
Motion Graphics,SHEOWS                                  NGO,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",22 May' 25,"Adobe After Effects, Adobe Animate, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Certificate, 5 days a week",N/A
Business Development (Sales),Off Beat Travels,"Delhi, Pitampura",Starts immediatelyImmediately,4 Months,"₹ 8,000 - 25,000 /month",23 May' 25,"Client Relationship, Customer Support, English Proficiency (Spoken), Travel Management, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages, Job offer",N/A
Content Writing,Nippon Data Systems Limited,Noida,Starts immediatelyImmediately,6 Months,"₹ 3,000 /month",22 May' 25,"Blogging, Creative Writing, Digital Marketing, English Proficiency (Written), Search Engine Optimization (SEO), Social Media Marketing, Technical Writing, Certificate, Letter of recommendation",N/A
Law/Legal,Ibus Networks And Infrastructure Pvt. Ltd,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 10,001 /month",22 May' 25,"Statutory compliances, Certificate, 5 days a week",N/A
Social Media Marketing,Global Creative Services LLC,"Delhi, Ghaziabad, Gautam Buddha Nagar, Noida",Starts immediatelyImmediately,3 Months,"₹ 2,000 - 5,000 /month",22 May' 25,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, 5 days a week, Job offer",N/A
Social Media Marketing,Nytarra Naturals,Noida,Starts immediatelyImmediately,3 Months,"₹ 14,000 /month",25 May' 25,"Canva, Creative Writing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Photography, Social Media Marketing, Video Editing, Video Making, Certificate, Letter of recommendation, Informal dress code, Job offer",N/A
Client Acquisition,Wealthmax Financials,Faridabad                                                    (Hybrid),Starts immediatelyImmediately,6 Months,"₹ 13,000 - 27,000 /month",26 May' 25,"Effective Communication, English Proficiency (Spoken), Field Sales, Interpersonal skills, Investing, Presentation skills, Sales, Letter of recommendation, Job offer",N/A
Company Secretary (CS),Niviverse Technologies Private Limited,Jaipur,Starts immediatelyImmediately,3 Months,"₹ 3,000 - 4,000 /month",22 May' 25,"Accounting, Company Law, English Proficiency (Spoken), English Proficiency (Written), MS-Word, Time Management, Certificate, Letter of recommendation, Flexible work hours",N/A
.NET Development,Raylogic Control Systems Pvt Ltd,Mumbai,Starts immediatelyImmediately,4 Months,"₹ 15,000 - 25,000 /month",24 May' 25,".NET, ASP.NET, C#, CSS, GitHub, HTML, JavaScript, Microsoft Visual Studio, MS SQL Server, Certificate, Letter of recommendation, Informal dress code",N/A
.NET Development,Techdome Solutions Private Limited,"Indore, Hyderabad",Starts immediatelyImmediately,6 Months,"₹ 5,000 - 10,000 /month",25 May' 25,".NET, ASP.NET, CSS, HTML, MS SQL Server, REST API, Certificate, Flexible work hours, Informal dress code, 5 days a week",N/A
Business Development (Sales),Peping.in,Bangalore,Starts immediatelyImmediately,6 Weeks,"₹ 8,500 - 13,000 /month",22 May' 25,"English Proficiency (Spoken), Marketing, Sales, Certificate",N/A
Sales,BNM Business Solutions LLP,Indore,Starts immediatelyImmediately,2 Months,"₹ 15,000 /month",21 May' 25,"Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), Negotiation, Problem Solving, Sales, Certificate, Letter of recommendation, Job offer",N/A
Business Development (Sales),Regami Solutions,Chennai,Starts immediatelyImmediately,3 Months,"₹ 5,000-10,000 /month",22 May' 25,"Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Marketing, MS-Excel, Job offer",N/A
Social Media Marketing,Marketing Keen,Delhi,Starts immediatelyImmediately,3 Months,"₹ 4,000 - 5,000 /month",22 May' 25,"Digital Marketing, English Proficiency (Written), Instagram Marketing, Social Media Marketing, Certificate, Letter of recommendation, Informal dress code",N/A
Search Engine Optimization (SEO),Impresio Studio,Noida,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",22 May' 25,"Digital Marketing, English Proficiency (Written), Google Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Video Editor/Making (Male Candidates),Get Structured Consulting Services OPC Private Limited,Mumbai,Starts immediatelyImmediately,4 Months,"₹ 8,000 - 10,000 /month",24 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making",N/A
